BillNumber,ChapterNumber,CrossfileBillNumber,SponsorPrimary,Sponsors,Synopsis,Title,Status,CommitteePrimaryOrigin,CommitteeSecondaryOrigin,CommitteePrimaryOpposite,CommitteeSecondaryOpposite,FirstReadingDateHouseOfOrigin,HearingDateTimePrimaryHouseOfOrigin,HearingDateTimeSecondaryHouseOfOrigin,ReportDateHouseOfOrigin,ReportActionHouseOfOrigin,SecondReadingDateHouseOfOrigin,SecondReadingActionHouseOfOrigin,ThirdReadingDateHouseOfOrigin,ThirdReadingActionHouseOfOrigin,FirstReadingDateOppositeHouse,HearingDateTimePrimaryOppositeHouse,HearingDateTimeSecondaryOppositeHouse,ReportDateOppositeHouse,ReportActionOppositeHouse,SecondReadingDateOppositeHouse,SecondReadingActionOppositeHouse,ThirdReadingDateOppositeHouse,ThirdReadingActionOppositeHouse,InteractionBetweenChambers,PassedByMGA,EmergencyBill,ConstitutionalAmendment,BroadSubjects,NarrowSubjects,BillType,BillVersion,Statutes,YearAndSession,StatusCurrentAsOf
HB0001,CH0006,SB0686,Delegate Wilson,"[{'Name': 'Delegate Wilson'}, {'Name': 'Delegate Clippinger'}, {'Name': 'Delegate Arikan'}, {'Name': 'Delegate Conaway'}, {'Name': 'Delegate Crutchfield'}, {'Name': 'Delegate Embry'}, {'Name': 'Delegate Grammer'}, {'Name': 'Delegate Kaufman'}, {'Name': 'Delegate Moon'}, {'Name': 'Delegate Pasteur'}, {'Name': 'Delegate Phillips'}, {'Name': 'Delegate Simmons'}, {'Name': 'Delegate Simpson'}, {'Name': 'Delegate Taylor'}, {'Name': 'Delegate Toles'}, {'Name': 'Delegate Williams'}, {'Name': 'Delegate Young'}]","Altering the definition of ""sexual abuse"" for purposes relating to civil actions for child sexual abuse to include any act that involves an adult allowing or encouraging a child to engage in certain activities; establishing certain limitations on damages that may be awarded under the Act; repealing the statute of limitations in certain civil actions relating to child sexual abuse; repealing a statute of repose for certain civil actions relating to child sexual abuse; providing for the retroactive application of the Act; etc.","Civil Actions - Child Sexual Abuse - Definition, Damages, and Statute of Limitations (The Child Victims Act of 2023)",Approved by the Governor - Chapter 6,Judiciary,,Judicial Proceedings,,2023-01-11,2023-03-02T13:00:00,,2023-03-30,Favorable with Amendments,2023-03-19,Passed with Amendments,2023-03-20,Passed,2023-03-21,,,2023-04-05,Favorable,2023-03-23,Passed,2023-03-23,Passed,Returned Passed,True,False,False,"[{'Code': 'd3', 'Name': 'Civil Actions and Procedures'}]","[{'Code': 'appeals', 'Name': 'Appeals -see also- Judicial Review'}, {'Code': 'childan', 'Name': 'Child Abuse and Neglect'}, {'Code': 'civila', 'Name': 'Civil Actions -see also- Small Claims'}, {'Code': 'damages', 'Name': 'Damages'}, {'Code': 'educatb', 'Name': 'Education, Boards of'}, {'Code': 'photography', 'Name': 'Photography'}, {'Code': 'pornography', 'Name': 'Pornography -see also- Nudity and Sexual Displays; Obscenity'}, {'Code': 'prostitution', 'Name': 'Prostitution -see also- Human Trafficking'}, {'Code': 'publice', 'Name': 'Public Employees -see also- State Employees'}, {'Code': 'sexualof', 'Name': 'Sexual Offenses'}, {'Code': 'statutl', 'Name': 'Statutes of Limitation'}, {'Code': 'torts', 'Name': 'Torts -see also- Libel and Slander; Med Malp; Wrongful Death'}, {'Code': 'volunteers', 'Name': 'Volunteers -see also- Maryland Service Corps'}]",Pre-Filed,T,"[{'Article': {'Code': 'acts', 'Title': 'Chapter of the Acts'}, 'Sections': [{'Section': '2017'}]}, {'Article': {'Code': 'gcj', 'Title': 'Courts and Judicial Proceedings'}, 'Sections': [{'Section': '12-303'}, {'Section': '5-117'}, {'Section': '5-303'}, {'Section': '5-518'}]}, {'Article': {'Code': 'ged', 'Title': 'Education'}, 'Sections': [{'Section': '4-105'}]}, {'Article': {'Code': 'gsg', 'Title': 'State Government'}, 'Sections': [{'Section': '12-104'}]}]",2023 Regular Session,2023-11-09T14:58:21.977
HB0002,CH0513,,"Delegate Lewis, J.","[{'Name': 'Delegate Lewis, J.'}]","Allowing a subtraction modification under the Maryland income tax for certain union dues paid during the taxable year; and applying the Act to all taxable years beginning after December 31, 2022.",Income Tax - Subtraction Modification - Union Dues,Approved by the Governor - Chapter 513,Ways and Means,,Budget and Taxation,,2023-01-11,2023-01-24T13:00:00,,2023-03-13,Favorable with Amendments,2023-03-06,Passed with Amendments,2023-03-08,Passed,2023-03-08,2023-03-29T13:00:00,,2023-04-05,Favorable with Amendments,2023-03-23,Passed with Amendments,2023-03-24,Passed with Amendments,Concurred,True,False,False,"[{'Code': 'q3', 'Name': 'Taxes - Income'}]","[{'Code': 'exemptions', 'Name': 'Exemptions'}, {'Code': 'fees', 'Name': ""Fees -see also- Attys' Fees; Devt Fees & Taxes; Reimb Rates""}, {'Code': 'incomet', 'Name': 'Income Tax'}, {'Code': 'unions', 'Name': 'Unions'}]",Pre-Filed,E,"[{'Article': {'Code': 'gtg', 'Title': 'Tax - General'}, 'Sections': [{'Section': '10-207'}]}]",2023 Regular Session,2023-11-09T14:58:21.977
HB0003,CH0623,SB0185,Delegate Bartlett,[{'Name': 'Delegate Bartlett'}],"Altering the purpose of the Maryland State Police Gun Center to include the tracking, screening, and vetting of all firearms surrendered under final protective orders in the State; and requiring each law enforcement agency to report to the Center the number and type of firearms surrendered, the jurisdictions where the firearms were surrendered, and certain information regarding the individual who surrendered each firearm under final protective orders.",Maryland State Police Gun Center – Firearms Surrendered Under Final Protective Orders,Approved by the Governor - Chapter 623,Judiciary,,Judicial Proceedings,,2023-01-11,2023-01-25T14:30:00,,2023-02-27,Favorable,2023-02-25,Passed,2023-02-27,Passed,2023-02-28,,,2023-04-05,Favorable,2023-03-23,Passed,2023-03-26,Passed,Returned Passed,True,False,False,"[{'Code': 'e4', 'Name': 'Public Safety'}]","[{'Code': 'data', 'Name': 'Data -see also- Census; Demographics'}, {'Code': 'guns', 'Name': 'Guns'}, {'Code': 'lawe', 'Name': 'Law Enforcement -see also- State Police, Department of'}, {'Code': 'proteco', 'Name': 'Protection Orders'}, {'Code': 'reports', 'Name': 'Reports'}, {'Code': 'searchs', 'Name': 'Search and Seizure'}, {'Code': 'statepd', 'Name': 'State Police, Department of'}]",Pre-Filed,T,"[{'Article': {'Code': 'gps', 'Title': 'Public Safety'}, 'Sections': [{'Section': '5-801 through 5-803'}]}]",2023 Regular Session,2023-11-09T14:58:21.977
HB0004,CH0728,SB0129,Delegate Crutchfield,"[{'Name': 'Delegate Crutchfield'}, {'Name': 'Delegate Acevero'}, {'Name': 'Delegate Barnes, D.'}, {'Name': 'Delegate Boyce'}, {'Name': 'Delegate Cullison'}, {'Name': 'Delegate Davis'}, {'Name': 'Delegate Foley'}, {'Name': 'Delegate Harrison'}, {'Name': 'Delegate Henson'}, {'Name': 'Delegate Hill'}, {'Name': 'Delegate Kaiser'}, {'Name': 'Delegate Kelly'}, {'Name': 'Delegate Palakovich Carr'}, {'Name': 'Delegate Patterson'}, {'Name': 'Delegate Reznik'}, {'Name': 'Delegate Sample-Hughes'}, {'Name': 'Delegate Shetty'}, {'Name': 'Delegate Solomon'}, {'Name': 'Delegate Stewart'}, {'Name': 'Delegate Toles'}, {'Name': 'Delegate Wells'}, {'Name': 'Delegate Williams'}]",Repealing a certain prohibition on prosecuting a person for rape or a certain sexual offense against a victim who was the person's legal spouse at the time of the alleged rape or sexual offense.,Criminal Law - Sexual Crimes - Repeal of Spousal Defense,Approved by the Governor - Chapter 728,Judiciary,,Judicial Proceedings,,2023-01-11,2023-01-19T13:00:00,,2023-02-27,Favorable,2023-02-25,Passed,2023-02-27,Passed,2023-02-28,,,2023-04-05,Favorable,2023-03-23,Passed,2023-03-26,Passed,Returned Passed,True,False,False,"[{'Code': 'e1', 'Name': 'Criminal Law - Substantive Crimes'}]","[{'Code': 'sexualof', 'Name': 'Sexual Offenses'}, {'Code': 'spouse', 'Name': 'Spouses'}]",Pre-Filed,T,"[{'Article': {'Code': 'gcr', 'Title': 'Criminal Law'}, 'Sections': [{'Section': '3-318'}]}]",2023 Regular Session,2023-11-09T14:58:21.977
HB0006,CH0581,SB0092,Delegate Hill,"[{'Name': 'Delegate Hill'}, {'Name': 'Delegate Bagnall'}, {'Name': 'Delegate Bhandari'}, {'Name': 'Delegate Cullison'}, {'Name': 'Delegate Guzzone'}, {'Name': 'Delegate Johnson, S.'}, {'Name': 'Delegate Kaiser'}, {'Name': 'Delegate Kerr'}, {'Name': 'Delegate Lewis, R.'}, {'Name': 'Delegate Lopez'}, {'Name': 'Delegate Martinez'}, {'Name': 'Delegate Pena-Melnyk'}, {'Name': 'Delegate Rosenberg'}, {'Name': 'Delegate Taveras'}, {'Name': 'Delegate White'}, {'Name': 'Delegate Woods'}]","Requiring the Department of General Services to establish and periodically update standards for State buildings to conserve energy and minimize adverse impacts on birds; requiring the Maryland Green Building Council to include the standards in certain requirements established for the Maryland High Performance Green Building Program; defining ""State building"" as one acquired, constructed, or renovated by the State or one for which 50% of the money for acquisition, construction, or renovation came from State funds; etc.",Department of General Services - Energy-Conserving Standards (Maryland Sustainable Buildings Act of 2023),Approved by the Governor - Chapter 581,Health and Government Operations,Appropriations,"Education, Energy, and the Environment",,2023-01-11,2023-02-08T14:25:00,,2023-03-06,Favorable with Amendments,2023-03-01,Passed with Amendments,2023-03-03,Passed,2023-03-04,,,2023-04-07,Favorable,2023-03-27,Passed with Amendments,2023-03-30,Passed with Amendments,Concurred,True,False,False,"[{'Code': 'p3', 'Name': 'State Government - Regulations and Procedures'}, {'Code': 'm5', 'Name': 'Energy'}]","[{'Code': 'birds', 'Name': 'Birds'}, {'Code': 'budgets', 'Name': 'Budgets -see also- Capital Budgets'}, {'Code': 'buildimr', 'Name': 'Building Maintenance and Repair'}, {'Code': 'conservation', 'Name': 'Conservation -see also- Soil Conservation'}, {'Code': 'construction', 'Name': 'Construction'}, {'Code': 'contracts', 'Name': 'Contracts -see also- Procurement'}, {'Code': 'energym', 'Name': 'Energy Matters -see also- Ren.Energy Sou; Fuel; Power Plants'}, {'Code': 'equipment', 'Name': 'Equipment -see also- Motor Vehicle Equipment'}, {'Code': 'generasd', 'Name': 'General Services, Department of'}, {'Code': 'health', 'Name': 'Health -see also- Mental and Behavioral Health'}, {'Code': 'industt', 'Name': 'Industry and Technology'}, {'Code': 'mentalh', 'Name': 'Mental and Behavioral Health'}, {'Code': 'publicbf', 'Name': 'Public Buildings and Facilities -see also- Stadiums; St Hse '}, {'Code': 'rulesr', 'Name': 'Rules and Regulations'}, {'Code': 'safety', 'Name': 'Safety -see also- Cybersecurity; Occupational Safety'}, {'Code': 'standabp', 'Name': 'Standards and Best Practices'}, {'Code': 'time', 'Name': 'Time'}]",Pre-Filed,E,"[{'Article': {'Code': 'gsf', 'Title': 'State Finance and Procurement'}, 'Sections': [{'Section': '4-101'}, {'Section': '4-410.1'}]}]",2023 Regular Session,2023-11-09T14:58:21.977
HB0009,CH0583,SB0019,Delegate Ruth,"[{'Name': 'Delegate Ruth'}, {'Name': 'Delegate Bagnall'}, {'Name': 'Delegate Cardin'}, {'Name': 'Delegate Chang'}, {'Name': 'Delegate Charkoudian'}, {'Name': 'Delegate Ebersole'}, {'Name': 'Delegate Foley'}, {'Name': 'Delegate Fraser-Hidalgo'}, {'Name': 'Delegate Henson'}, {'Name': 'Delegate Hill'}, {'Name': 'Delegate Kerr'}, {'Name': 'Delegate Lehman'}, {'Name': 'Delegate Love'}, {'Name': 'Delegate Patterson'}, {'Name': 'Delegate Qi'}, {'Name': 'Delegate Terrasa'}, {'Name': 'Delegate Watson'}]","Requiring that equity be considered when State transportation plans, reports, and goals are developed; altering the membership of the advisory committee on State transportation goals; requiring the Maryland Department of Transportation to conduct transit equity analyses, cost-benefit analyses, and consult with certain communities before announcing or proposing any major service change or any reduction or cancellation of a certain capital expansion project in the construction program; etc.",Equity in Transportation Sector - Guidelines and Analyses,Approved by the Governor - Chapter 583,Environment and Transportation,,Finance,,2023-01-11,2023-02-02T13:00:00,,2023-03-16,Favorable with Amendments,2023-03-07,Passed with Amendments,2023-03-12,Passed,2023-03-12,,,2023-03-30,Favorable with Amendments,2023-03-20,Passed with Amendments,2023-03-21,Passed with Amendments,Concurred,True,False,False,"[{'Code': 'r2', 'Name': 'Transportation - Generally'}]","[{'Code': 'adminia', 'Name': 'Administrative Agencies -see also- Electronic Government'}, {'Code': 'commitc', 'Name': 'Committees and Commissions -see also- Political Committees'}, {'Code': 'commund', 'Name': 'Community Development'}, {'Code': 'communication', 'Name': 'Communications -see also- Electronic Comm; Language; Telecom'}, {'Code': 'construction', 'Name': 'Construction'}, {'Code': 'demograph', 'Name': 'Demographics -see also- Census; Data'}, {'Code': 'disabilities', 'Name': 'Disabilities -see also- Blind; Deaf; Developmental'}, {'Code': 'discriminatio', 'Name': 'Discrimination'}, {'Code': 'internet', 'Name': 'Internet -see also- Telecommunications and IT'}, {'Code': 'language', 'Name': 'Language -see also- Communication; Electronic Comm; Telecomm'}, {'Code': 'lowincome', 'Name': 'Low-Income'}, {'Code': 'masst', 'Name': 'Mass Transit -see also- Buses; Railroads'}, {'Code': 'minorities', 'Name': 'Minorities -see also- Women'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'opengov', 'Name': 'Open Government'}, {'Code': 'reports', 'Name': 'Reports'}, {'Code': 'studies', 'Name': 'Studies -see also- Committees and Commissions; Reports'}, {'Code': 'transpd', 'Name': 'Transportation, Department of'}, {'Code': 'transport', 'Name': 'Transportation -see also- Aircraft; Airports; Boats; etc'}, {'Code': 'zoningp', 'Name': 'Zoning and Planning'}]",Pre-Filed,E,"[{'Article': {'Code': 'gtr', 'Title': 'Transportation'}, 'Sections': [{'Section': '2-103.1'}, {'Section': '7-101'}, {'Section': '7-714 through 7-716'}]}]",2023 Regular Session,2023-11-09T14:58:21.977
HB0010,CH0074,SB0082,Delegate Adams,[{'Name': 'Delegate Adams'}],Requiring membership in the Correctional Officers' Retirement System for certain local detention center officers of Talbot County in the event Talbot County becomes a participating governmental unit in the Correctional Officers' Retirement System; and providing that certain local detention center officers who join the Correctional Officers' Retirement System and receive certain service credit shall no longer be members of the Employees' Pension System and shall have no further rights to any benefit in the Employees' Pension System.,Correctional Officers’ Retirement System – Talbot County,Approved by the Governor - Chapter 74,Appropriations,,Budget and Taxation,,2023-01-11,2023-01-24T13:00:00,,2023-03-16,Favorable,2023-03-10,Passed,2023-03-12,Passed,2023-03-12,,,2023-03-27,Favorable,2023-03-18,Passed,2023-03-21,Passed,Returned Passed,True,False,False,"[{'Code': 'p6', 'Name': 'State Government - Pensions and Retirement'}]","[{'Code': 'correco', 'Name': 'Correctional Officers'}, {'Code': 'retires', 'Name': 'Retirement -see also- Mandatory Retirement'}, {'Code': 'talbotc', 'Name': 'Talbot County'}]",Pre-Filed,T,"[{'Article': {'Code': 'gsp', 'Title': 'State Personnel and Pensions'}, 'Sections': [{'Section': '31-2B-08'}]}]",2023 Regular Session,2023-11-09T14:58:21.977
HB0011,CH0587,SB0483,Delegate Stewart,[{'Name': 'Delegate Stewart'}],"Requiring the Department of the Environment to adopt regulations by December 31, 2026, to identify additional standards for water quality testing; requiring the Department, subject to certain funding and in consultation with the Department of Information Technology, to utilize an online portal to receive and upload certain information and to provide public access to the information; requiring the Department of the Environment to consistently share the information collected with the Maryland Department of Health and local health departments; etc.",Private Well Safety Act of 2023,Approved by the Governor - Chapter 587,Environment and Transportation,,"Education, Energy, and the Environment",,2023-01-11,2023-02-01T15:00:00,,2023-03-17,Favorable with Amendments,2023-03-09,Passed with Amendments,2023-03-12,Passed,2023-03-12,,,2023-04-06,Favorable with Amendments,2023-03-24,Passed with Amendments,2023-03-26,Passed with Amendments,Concurred,True,False,False,"[{'Code': 'm3', 'Name': 'Environment'}, {'Code': 'n1', 'Name': 'Real Property'}]","[{'Code': 'census', 'Name': 'Census -see also- Data; Demographics'}, {'Code': 'chemict', 'Name': 'Chemical Tests'}, {'Code': 'contracts', 'Name': 'Contracts -see also- Procurement'}, {'Code': 'counties', 'Name': 'Counties -see also- Chartered Counties; Code Counties'}, {'Code': 'courtorders', 'Name': 'Court Orders'}, {'Code': 'data', 'Name': 'Data -see also- Census; Demographics'}, {'Code': 'electrcom', 'Name': 'Electronic Communication -see also- Comm; Elec.Gov; Lang; Te'}, {'Code': 'electrgov', 'Name': 'Electronic Government -see also- Electronic Communication'}, {'Code': 'envirod', 'Name': 'Environment, Department of the'}, {'Code': 'fees', 'Name': ""Fees -see also- Attys' Fees; Devt Fees & Taxes; Reimb Rates""}, {'Code': 'grants', 'Name': 'Grants'}, {'Code': 'hazardts', 'Name': 'Hazardous and Toxic Substances -see also- Asbestos; Radiatn '}, {'Code': 'health', 'Name': 'Health -see also- Mental and Behavioral Health'}, {'Code': 'internet', 'Name': 'Internet -see also- Telecommunications and IT'}, {'Code': 'laboratories', 'Name': 'Laboratories'}, {'Code': 'mapsc', 'Name': 'Maps and Charts'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'poverty', 'Name': 'Poverty'}, {'Code': 'realp', 'Name': 'Real Property'}, {'Code': 'records', 'Name': 'Records -see also- Land Records; Vital Records'}, {'Code': 'reports', 'Name': 'Reports'}, {'Code': 'resprop', 'Name': 'Residential Property'}, {'Code': 'revenut', 'Name': 'Revenue and Taxes -see also- Dev Fees &Taxes; specific tax'}, {'Code': 'rulesr', 'Name': 'Rules and Regulations'}, {'Code': 'safety', 'Name': 'Safety -see also- Cybersecurity; Occupational Safety'}, {'Code': 'standabp', 'Name': 'Standards and Best Practices'}, {'Code': 'time', 'Name': 'Time'}, {'Code': 'water', 'Name': 'Water'}, {'Code': 'wells', 'Name': 'Wells -see also- Hydraulic Fracturing'}]",Pre-Filed,E,"[{'Article': {'Code': 'gen', 'Title': 'Environment'}, 'Sections': [{'Section': '9-4A-01'}, {'Section': '9-4A-01 through 9-4A-03'}]}, {'Article': {'Code': 'grp', 'Title': 'Real Property'}, 'Sections': [{'Section': '10-713'}]}]",2023 Regular Session,2023-11-09T14:58:21.977
HB0012,CH0512,SB0151,"Delegate Lewis, J.","[{'Name': 'Delegate Lewis, J.'}]","Repealing the authority of the Secretary of Transportation to designate transit-oriented development; establishing the Transit-Oriented Development Capital Grant and Revolving Loan Fund to promote the equitable and inclusive development of transit-oriented developments; authorizing the Department of Transportation to use the Fund to provide financial assistance to local jurisdictions; requiring the Governor to include in the annual budget bill an amount sufficient to ensure a Fund balance of at least $5,000,000; etc.",Equitable and Inclusive Transit-Oriented Development Enhancement Act,Approved by the Governor - Chapter 512,Environment and Transportation,Ways and Means,Budget and Taxation,,2023-01-11,2023-02-02T13:00:00,,2023-03-17,Favorable with Amendments,2023-03-09,Passed with Amendments,2023-03-11,Passed,2023-03-11,2023-03-28T13:15:00,,2023-04-05,Favorable with Amendments,2023-03-23,Passed with Amendments,2023-03-24,Passed with Amendments,Conference Committee Appointed,True,False,False,"[{'Code': 'c8', 'Name': 'Economic Development'}, {'Code': 'r2', 'Name': 'Transportation - Generally'}]","[{'Code': 'appropriation', 'Name': 'Appropriations'}, {'Code': 'budgets', 'Name': 'Budgets -see also- Capital Budgets'}, {'Code': 'capitab', 'Name': 'Capital Budgets'}, {'Code': 'commund', 'Name': 'Community Development'}, {'Code': 'comptroller', 'Name': 'Comptroller'}, {'Code': 'governor', 'Name': 'Governor'}, {'Code': 'grants', 'Name': 'Grants'}, {'Code': 'internet', 'Name': 'Internet -see also- Telecommunications and IT'}, {'Code': 'loans', 'Name': 'Loans -see also- Mortgages'}, {'Code': 'lowincome', 'Name': 'Low-Income'}, {'Code': 'masst', 'Name': 'Mass Transit -see also- Buses; Railroads'}, {'Code': 'minorities', 'Name': 'Minorities -see also- Women'}, {'Code': 'reports', 'Name': 'Reports'}, {'Code': 'revenut', 'Name': 'Revenue and Taxes -see also- Dev Fees &Taxes; specific tax'}, {'Code': 'statea', 'Name': 'State Aid'}, {'Code': 'transpd', 'Name': 'Transportation, Department of'}, {'Code': 'transport', 'Name': 'Transportation -see also- Aircraft; Airports; Boats; etc'}, {'Code': 'treasurers', 'Name': 'Treasurers'}, {'Code': 'zoningp', 'Name': 'Zoning and Planning'}]",Pre-Filed,E,"[{'Article': {'Code': 'gsf', 'Title': 'State Finance and Procurement'}, 'Sections': [{'Section': '10-306'}, {'Section': '6-226'}]}, {'Article': {'Code': 'gtr', 'Title': 'Transportation'}, 'Sections': [{'Section': '7-101'}, {'Section': '7-102'}, {'Section': '7-103'}, {'Section': '7-1201 through 7-1205'}]}]",2023 Regular Session,2023-11-09T14:58:21.977
HB0013,CH0744,SB0005,Delegate Crutchfield,[{'Name': 'Delegate Crutchfield'}],Providing that a person who is the victim of an act that would constitute a violation of certain hate crime laws may bring a civil action against the person or persons who committed the act in a court of competent jurisdiction; and authorizing the court to impose an injunction and award certain economic and noneconomic damages.,Hate Crimes – Civil Remedy,Approved by the Governor - Chapter 744,Judiciary,,Judicial Proceedings,,2023-01-11,2023-01-19T13:00:00,,2023-02-27,Favorable,2023-02-25,Passed,2023-02-27,Passed,2023-02-28,,,2023-03-30,Favorable,2023-03-20,Passed,2023-03-21,Passed,Returned Passed,True,False,False,"[{'Code': 'd3', 'Name': 'Civil Actions and Procedures'}]","[{'Code': 'attornf', 'Name': ""Attorneys' Fees""}, {'Code': 'civila', 'Name': 'Civil Actions -see also- Small Claims'}, {'Code': 'courtc', 'Name': 'Court Costs'}, {'Code': 'courts', 'Name': ""Courts -see also- Circuit; Appeals; District; Orphans'; etc.""}, {'Code': 'crimesp', 'Name': 'Crimes and Punishments -see also- Penalties and Sentnc; etc.'}, {'Code': 'damages', 'Name': 'Damages'}, {'Code': 'discriminatio', 'Name': 'Discrimination'}, {'Code': 'victims', 'Name': 'Victims -see also- Criminal Injuries Compensation'}]",Pre-Filed,T,"[{'Article': {'Code': 'gcr', 'Title': 'Criminal Law'}, 'Sections': [{'Section': '10-309'}]}]",2023 Regular Session,2023-11-09T14:58:21.977
