YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,innovative_summary,innovative_score,child_poverty_direct_summary,child_poverty_direct_score
2023 Regular Session,HB0001,"Civil Actions - Child Sexual Abuse - Definition, Damages, and Statute of Limitations (The Child Victims Act of 2023)","Altering the definition of ""sexual abuse"" for purposes relating to civil actions for child sexual abuse to include any act that involves an adult allowing or encouraging a child to engage in certain activities; establishing certain limitations on damages that may be awarded under the Act; repealing the statute of limitations in certain civil actions relating to child sexual abuse; repealing a statute of repose for certain civil actions relating to child sexual abuse; providing for the retroactive application of the Act; etc.","The Child Victims Act of 2023 significantly revises Maryland laws on child sexual abuse civil actions by removing statutes of limitations, defining sexual abuse more broadly, and establishing caps on damages.",False,2023,2023,0.0,"Maryland State Government agencies including the Courts, Education, and State Government departments.","Victims of child sexual abuse, legal system, educational institutions, and government agencies.","The bill employs a comprehensive legal overhaul, including the removal of statutes of limitations and retroactive application, representing a significant and innovative change in handling child sexual abuse cases.",4,The bill primarily changes legal rules and does not directly impact child poverty.,1
2023 Regular Session,HB0002,Income Tax - Subtraction Modification - Union Dues,"Allowing a subtraction modification under the Maryland income tax for certain union dues paid during the taxable year; and applying the Act to all taxable years beginning after December 31, 2022.","The bill allows Maryland taxpayers to deduct union dues paid during the taxable year from their income for tax purposes, up to a maximum of $250 per year.",False,2023,0,0.0,Maryland Department of Revenue,Union members and Maryland taxpayers,"This bill introduces a tax deduction for union dues, which is a standard tax policy approach, not employing new technologies or novel methods.",1,The bill does not directly address child poverty or include specific programs aimed at reducing child poverty.,1
2023 Regular Session,HB0003,Maryland State Police Gun Center – Firearms Surrendered Under Final Protective Orders,"Altering the purpose of the Maryland State Police Gun Center to include the tracking, screening, and vetting of all firearms surrendered under final protective orders in the State; and requiring each law enforcement agency to report to the Center the number and type of firearms surrendered, the jurisdictions where the firearms were surrendered, and certain information regarding the individual who surrendered each firearm under final protective orders.","The bill expands the purpose of the Maryland State Police Gun Center to include tracking, screening, and vetting firearms surrendered under final protective orders, and requires law enforcement agencies to report information on these firearms.",True,2023,0,0.0,Maryland State Police Department,"Firearm owners subject to final protective orders, law enforcement agencies, and the general public","The bill employs a statewide database and systematic reporting to monitor firearms surrendered under protective orders, integrating tracking and vetting processes.",3,"The program's direct impact on child poverty is minimal, focusing mainly on firearm tracking and law enforcement procedures.",1
2023 Regular Session,HB0004,Criminal Law - Sexual Crimes - Repeal of Spousal Defense,Repealing a certain prohibition on prosecuting a person for rape or a certain sexual offense against a victim who was the person's legal spouse at the time of the alleged rape or sexual offense.,"This bill repeals the legal prohibition on prosecuting a person for certain sexual crimes against their spouse, including rape, unless specific conditions apply such as living apart under certain agreements or divorce decrees.",False,2023,2023,0.0,Maryland Department of Public Safety and Correctional Services or criminal justice agencies involved in prosecution,"Victims of sexual offenses, legal and prosecutorial agencies, spouses in Maryland",The bill primarily changes legal rules related to prosecution of sexual offenses against spouses; it does not employ new technologies or approaches.,1,"The bill has limited direct impact on child poverty, as it addresses legal procedures for sexual offense prosecution.",1
2023 Regular Session,HB0006,Department of General Services - Energy-Conserving Standards (Maryland Sustainable Buildings Act of 2023),"Requiring the Department of General Services to establish and periodically update standards for State buildings to conserve energy and minimize adverse impacts on birds; requiring the Maryland Green Building Council to include the standards in certain requirements established for the Maryland High Performance Green Building Program; defining ""State building"" as one acquired, constructed, or renovated by the State or one for which 50% of the money for acquisition, construction, or renovation came from State funds; etc.","The bill requires the Maryland Department of General Services to establish and periodically update standards for state buildings to conserve energy and reduce bird collisions, including guidelines for lighting and construction. It also mandates inclusion of these standards in certain green building programs.",True,2023,0,0.0,Department of General Services,"State buildings, public taxpayers, environmental groups, and building occupants","The program employs new standards focused on bird-friendly building designs and energy conservation, including lighting controls and updates every 5 years.",4,"The bill's focus on sustainable and efficient government infrastructure could contribute to long-term savings, but it does not directly target child poverty.",2
2023 Regular Session,HB0009,Equity in Transportation Sector - Guidelines and Analyses,"Requiring that equity be considered when State transportation plans, reports, and goals are developed; altering the membership of the advisory committee on State transportation goals; requiring the Maryland Department of Transportation to conduct transit equity analyses, cost-benefit analyses, and consult with certain communities before announcing or proposing any major service change or any reduction or cancellation of a certain capital expansion project in the construction program; etc.","The bill requires Maryland's Department of Transportation to incorporate equity considerations into transportation planning and decision-making processes. It mandates analyses and community consultation before implementing major service changes or reductions in transportation projects, emphasizes transparency through public reports, and establishes advisory committees.",True,2024,2034,0.0,Maryland Department of Transportation and Maryland Transit Administration,"Transportation riders, communities affected by transportation changes, low-income populations, persons with disabilities, minority and senior communities","The bill employs a comprehensive community engagement process with detailed equity analyses, public reporting, and recommendations, utilizing federal guidelines and best practices to promote equitable transportation policy.",4,"The bill has high potential to impact child poverty by ensuring transportation policies are equitable and community-inclusive, which can improve access to education and services.",4
2023 Regular Session,HB0010,Correctional Officers’ Retirement System – Talbot County,Requiring membership in the Correctional Officers' Retirement System for certain local detention center officers of Talbot County in the event Talbot County becomes a participating governmental unit in the Correctional Officers' Retirement System; and providing that certain local detention center officers who join the Correctional Officers' Retirement System and receive certain service credit shall no longer be members of the Employees' Pension System and shall have no further rights to any benefit in the Employees' Pension System.,"The bill mandates that Talbot County detention center officers become members of the Correctional Officers' Retirement System if Talbot County joins it, and establishes rules for transferring their service credits and pension rights.",True,2023,0,0.0,Talbot County government and Maryland State Retirement Agency,Talbot County detention center officers and local government employees in Talbot County,"The bill introduces a structured process for transitioning county detention officers into a designated retirement system upon local participation, with provisions for transfer of service credits and benefits.",3,The direct impact on child poverty is minimal as the bill focuses on pension system membership for detention officers.,1
2023 Regular Session,HB0011,Private Well Safety Act of 2023,"Requiring the Department of the Environment to adopt regulations by December 31, 2026, to identify additional standards for water quality testing; requiring the Department, subject to certain funding and in consultation with the Department of Information Technology, to utilize an online portal to receive and upload certain information and to provide public access to the information; requiring the Department of the Environment to consistently share the information collected with the Maryland Department of Health and local health departments; etc.","The Private Well Safety Act of 2023 establishes a program and fund to address private well water contamination in Maryland, including testing, remediation, data management, and property sale provisions.",True,2024,2026,0.0,Department of the Environment,"Private well owners, residents in Maryland, local health departments, real estate buyers and sellers","The bill employs an online portal to facilitate data sharing and public access to private well water testing results, integrating technology for environmental monitoring and transparency.",4,"The program could impact child poverty by ensuring access to safe drinking water, which is essential for health and well-being.",4
2023 Regular Session,HB0012,Equitable and Inclusive Transit-Oriented Development Enhancement Act,"Repealing the authority of the Secretary of Transportation to designate transit-oriented development; establishing the Transit-Oriented Development Capital Grant and Revolving Loan Fund to promote the equitable and inclusive development of transit-oriented developments; authorizing the Department of Transportation to use the Fund to provide financial assistance to local jurisdictions; requiring the Governor to include in the annual budget bill an amount sufficient to ensure a Fund balance of at least $5,000,000; etc.","The bill establishes a Transit-Oriented Development Capital Grant and Revolving Loan Fund to promote equitable and inclusive development around transit stations and corridors in Maryland, providing financial assistance to local jurisdictions for planning, infrastructure, and development projects.",True,2023,0,5000000.0,Maryland Department of Transportation,"Residents, local governments, transit agencies, private developers, and communities near transit stations and corridors","The bill introduces a dedicated fund and structured program to incentivize transit-oriented development with an emphasis on equity and inclusivity, using targeted financial assistance and collaboration with various stakeholders.",4,"The program has high potential to reduce child poverty by promoting equitable development, improving access to transit, and supporting affordable housing and community investments.",4
2023 Regular Session,HB0013,Hate Crimes – Civil Remedy,Providing that a person who is the victim of an act that would constitute a violation of certain hate crime laws may bring a civil action against the person or persons who committed the act in a court of competent jurisdiction; and authorizing the court to impose an injunction and award certain economic and noneconomic damages.,"This bill provides victims of acts that would violate hate crime laws in Maryland the right to file a civil lawsuit against the perpetrators, allowing for injunctions and damages including economic, noneconomic, and punitive damages.",True,2023,0,0.0,Maryland courts and legal system,Victims of hate crimes in Maryland,"The bill introduces a civil litigation avenue for hate crime victims, expanding legal remedies beyond criminal prosecution.",3,The bill does not directly impact child poverty but may support victims in vulnerable communities.,1
2023 Regular Session,HB0014,Family Law - Grounds for Divorce,Repealing the authority of the court to decree a limited divorce; and altering certain grounds for an absolute divorce.,"The bill repeals the authority to decree a limited divorce and makes comprehensive changes to grounds for absolute divorce, including eliminating certain grounds and modifying separation periods.",False,2023,2023,0.0,Maryland Family Law Courts,Married individuals and families in Maryland seeking divorce,"The bill primarily changes legal divorce grounds and procedures, with no use of new technologies or approaches.",1,The bill does not directly impact child poverty levels.,1
2023 Regular Session,HB0016,Primary and Secondary Education – Title IX – Notice (Hear Our Voices Act),"Requiring each public school to provide information to students, faculty, staff, and parents regarding who serves as the Title IX coordinator for the school, the process in place for filing a sexual misconduct complaint, and the support measures that are in place for filing a sexual misconduct complaint and how to access the support measures.","The bill requires all public schools in Maryland to inform students, staff, and parents about their Title IX coordinator, the procedures for reporting sexual misconduct, and available support resources. It aims to improve awareness and accessibility related to sexual misconduct reporting and support.",True,2023,0,0.0,Maryland Department of Education,"Students, faculty, staff, and parents in public schools in Maryland","The bill standardizes the dissemination of information related to Title IX and sexual misconduct procedures across all public schools, employing a proactive informational approach to foster safer school environments.",2,The bill has limited direct impact on child poverty as it mainly focuses on information dissemination and policies regarding sexual misconduct.,1
2023 Regular Session,HB0018,Maryland General and Limited Power of Attorney Act - Alterations,"Altering a certain statutory form for a general power of attorney by including certain provisions informing the principal and agent of certain matters, granting general authority with respect to tangible personal property and trusts and estates, authorizing the principal to grant the agent certain specific powers relating to successor agents, compensation, gifts, or transfers and opening joint accounts and beneficiary designations, and clarifying the force and effect of the form; etc.","The bill updates Maryland's statutory forms for general and limited powers of attorney to include provisions related to governmental benefits, programs, and digital assets. It enhances the powers granted to agents in managing property, financial, trust, estate, and benefit-related matters, explicitly including authority over digital assets and government benefit eligibility.",False,2023,2023,0.0,Maryland Department of Estates and Trusts,"Individuals creating or using powers of attorney, estate planners, legal professionals, and beneficiaries involved in estate, trust, and benefit matters","The bill incorporates provisions for digital assets and governmental benefits into Maryland's statutory powers of attorney, representing a modernization of estate planning tools that employs current technology and broadens governmental benefit access.",3,"The bill can potentially improve access to government benefits and manage resources effectively, which may help reduce child poverty, but it does not directly target child poverty reduction.",2
2023 Regular Session,HB0019,State Board of Examiners of Psychologists - License and Registration Issuance and Renewals - Electronic Means,"Requiring the State Board of Examiners of Psychologists to issue electronic licenses and registrations, except under certain circumstances; requiring the Board, on an applicant's request, to print a paper copy of the verification of licensure or registration and send it by first-class mail to the address on the application; repealing the requirement that the Board include certain information on each license and registration; and requiring the Board to send renewal notices by first-class mail under certain circumstances.","The bill requires the Maryland State Board of Examiners of Psychologists to issue electronic licenses and registrations, alters procedures for sending renewal notices, and mandates criminal history record checks for certain renewal applicants and reinstatements.",False,2023,2023,0.0,Maryland State Board of Examiners of Psychologists,"Psychologists, psychology licensees, and the associated professional community in Maryland","The bill employs digital technology to issue and handle licenses and renewal notices, streamlining processes and reducing reliance on paper notices.",3,"The bill has minimal direct impact on child poverty, as it primarily pertains to licensing procedures for psychologists.",1
2023 Regular Session,HB0021,Property Tax - Tax Sales - Notices and Payoff Amount for Redemption,Requiring that the holder of a certificate of sale include the e-mail address of certain persons in certain notices required to be sent to certain persons with an interest in a property that is sold at a tax sale; authorizing certain persons with an interest in owner-occupied property sold at a tax sale to request the current payoff amount to redeem the property; providing that the payoff amount to redeem the property provided by the holder of the certificate to the owner of the property is valid for 30 days; etc.,"The bill revises notice and payoff procedures for properties sold at tax sales in Maryland, including adding email notification requirements and establishing a process for owner–occupied residential property owners to request current payoff amounts before foreclosure.",True,2023,2023,0.0,Maryland State Department of Assessments and Taxation or the relevant local tax collector's office,Owners of owner–occupied residential properties sold at tax sales in Maryland,"The bill enhances communication by requiring email notices and formalizes a process for requesting current redemption payoff amounts, incorporating technology and formal procedures to aid property owners.",3,The program could potentially reduce child poverty by helping owner–occupied families manage property tax sales and prevent losses that could impact children’s housing stability.,3
2023 Regular Session,HB0023,Mobile and Manufactured Homes - Relocation Plans and Sales of Communities (Manufactured Housing Modernization Act of 2023),"Altering requirements relating to relocation plans for mobile home parks to require a plan for park residents who will be dislocated as a result of the change in land use; requiring the owner, 60 days prior to entering into a contract to sell the community, to provide notice of the terms of the offer to homeowners in the community and provide them the opportunity to purchase the housing community; requiring the Department of Housing and Community Development to list certain agencies to assist homeowners with the purchase of a community; etc.","The bill modernizes regulations concerning the sale and relocation of mobile and manufactured homes in Maryland. It establishes procedures for relocations due to land use changes, restricts certain sale conditions, and requires community owners to provide notices and allow homeowners to purchase communities.",True,2023,2033,0.0,Department of Housing and Community Development,"Homeowners in manufactured housing communities, mobile home park residents, community owners","The bill introduces a comprehensive legal framework that enhances homeowner protections and promotes community stability through notice requirements, purchase opportunities, and allowed restrictions on sales.",3,The program has a moderate potential to impact child poverty by protecting affordable housing for residents.,3
2023 Regular Session,HB0026,Health Occupations - Psychologists - Licensure Qualification,"Requiring an individual, in order to be licensed as a psychologist by the State Board of Examiners of Psychologists, to have a doctoral degree in psychology from a certain school or university, to have received a postdoctoral respecialization certificate from a certain department of psychology that included a minimum of 1,750 hours in supervised internship, and to have completed at least 1,500 hours postcertification advanced training hours or precertification hours of service as a registered psychology associate; etc.","The bill amends the qualifications required to be licensed as a psychologist in Maryland, including updates to the definitions of doctoral degrees and the requirements for supervised experience and postdoctoral training.",False,2023,2023,0.0,Maryland State Board of Examiners of Psychologists,Aspiring psychologists and licensing applicants in Maryland,The bill primarily updates educational and experiential licensing requirements and does not introduce new technologies or approaches.,1,The bill does not have a direct impact on child poverty.,1
2023 Regular Session,HB0030,"Environment - On-Site Wastewater Services - Board, Fees, and Penalties",Altering the composition of the State Board of On-Site Wastewater Professionals; clarifying and altering the distribution of certain fees and penalties; and clarifying the application of certain license requirements and penalties.,"The bill establishes regulations for on-site wastewater inspection professionals, creating a licensing system, a state board, and a dedicated fund to support these initiatives. It sets licensing standards, fee structures, and penalties for violations.",True,2022,2026,150.0,Maryland Department of the Environment,"On-site wastewater service providers, local governments, environmental health departments, and property owners in Maryland","This bill employs a regulated licensing system and a dedicated fund, introducing systematic oversight and funding mechanisms for wastewater professionals, which is a structured approach but not highly innovative in technology.",2,The bill has limited direct impact on child poverty as it mainly focuses on professional licensing and regulatory frameworks for wastewater services.,1
2023 Regular Session,HB0032,Maryland Food System Resiliency Council,Establishing that the Maryland Food System Resiliency Council is in the Office of Resilience in the Maryland Department of Emergency Management; and altering the process for electing a cochair of the Council.,"The bill establishes the Maryland Food System Resiliency Council within the Office of Resilience in the Maryland Department of Emergency Management. It defines the membership, leadership, and operational procedures for the Council, including representation from various state agencies, industry groups, and experts, to improve food system resilience.",True,2023,0,0.0,Maryland Department of Emergency Management,"Food producers, food security organizations, local food councils, and Maryland residents impacted by food system issues.","The program creates a comprehensive, multi-stakeholder council to coordinate food system resilience efforts, including public-private partnerships and expert input, which introduces a structured, collaborative approach to food security.",4,The program has potential to reduce child poverty by strengthening local food systems and increasing food security for vulnerable populations.,4
2023 Regular Session,HB0036,Real Property – Actions to Repossess – Proof of Rental Licensure,"Requiring, in certain actions to repossess residential rental property, a landlord to submit to the clerk of the court evidence of compliance with local rental property licensure requirements and demonstrate that the landlord is compliant with the licensure requirements.","The bill requires landlords to prove their rental property is properly licensed when filing to repossess property for nonpayment or breach of lease, including demonstrating compliance with local licensing requirements.",True,2023,0,0.0,Maryland State or local housing authorities and courts,"Landlords, tenants, and local housing authorities in Maryland","The bill introduces a legal requirement for landlords to demonstrate compliance with local rental licensing laws during repossession proceedings, integrating licensing verification into legal process.",3,"The bill's impact on child poverty is likely indirect and minimal, focusing on legal compliance and property management.",1
2023 Regular Session,HB0037,Commercial Law - Consumer Protection - Telephone Solicitation (Stop the Spam Calls Act of 2023),"Prohibiting a person from making certain telephone solicitations to a certain called party in a certain manner by restricting the methods, times, and identifying information that the person making the call may utilize; providing that the Act does not apply to certain entities and circumstances; and making a violation of the Act an unfair, abusive, or deceptive trade practice that is subject to enforcement and penalties under the Maryland Consumer Protection Act.","The bill, known as the Stop the Spam Calls Act of 2023, establishes regulations and restrictions on telephone solicitations in Maryland, including bans on certain calling methods, hours, and identity concealment, and defines penalties for violations.",True,2024,0,0.0,Maryland Department of Public Utilities or Consumer Protection Agency,"Maryland residents receiving telephone solicitations, telemarketers, and consumer protection agencies","The bill employs technological transparency measures such as caller identification and restrictions on caller identity concealment, representing a modern approach to telephone solicitation regulation.",3,The direct impact on child poverty is minimal as the bill primarily addresses telemarketing practices and consumer protection.,1
2023 Regular Session,HB0042,Courts - Judgments - Exemptions From Execution,"Exempting up to $500 in a deposit account or other accounts of a judgment debtor held by a depository institution from execution on the judgment without an election by the debtor to exempt the money; establishing procedures a depository institution is required to follow on receipt of a writ of garnishment or other levy or attachment under certain circumstances; establishing a $6,000 limit on the cumulative value of property and cash that may be exempted; etc.","The bill revises exemption rules for debtors against judgments, including increasing certain exemption limits for cash and property, and establishing procedures for garnishments and exemptions from executions.",False,2023,2023,0.0,Maryland Courts and Judicial Proceedings,Judgment debtors and creditors in Maryland,"The bill introduces new procedural rules and specific exemption limits, including caps on garnishable accounts and procedures for garnishments, but it does not employ new technologies or approaches.",2,The bill does not directly target child poverty but may tangentially protect debtor assets from garnishment.,1
2023 Regular Session,HB0043,Property Tax - Tax Sales - Payment of Balance After Foreclosure,"Requiring each county to establish a process for a person entitled to  any balance over the amount required for the payment of taxes, interest, penalties, and costs of sale to claim the balance after a tax sale foreclosure; and requiring the collector of taxes for a county to notify the prior property owner, within 90 days after delivering a deed to a purchaser, of the amount of a certain balance and the process for claiming the balance.",This bill requires Maryland counties to establish a process for individuals to claim any remaining balance after a property tax sale foreclosure and mandates notification to the previous property owner about such balances.,False,2023,2023,0.0,Maryland counties and their tax collectors,Previous property owners and taxpayers involved in tax sales,"The bill introduces a standardized process for claiming remaining balances after tax foreclosures and mandates notification, enhancing transparency and fairness in property tax proceedings.",2,"The program may indirectly impact child poverty by improving property rights and potentially stabilizing communities, but it does not directly target child poverty.",2
2023 Regular Session,HB0048,Maryland Medical Assistance Program – Collaborative Care Model Services – Implementation and Reimbursement Expansion,Repealing the Collaborative Care Pilot Program; and requiring the Maryland Department of Health to expand access to and provide reimbursement for services provided in accordance with the Collaborative Care Model under the Maryland Medical Assistance Program.,"The bill mandates the Maryland Department of Health to implement and reimburse services in accordance with the Collaborative Care Model for somatic and behavioral health services in primary care settings under the Maryland Medical Assistance Program, replacing the previous pilot program.",True,2023,2024,2200000.0,Maryland Department of Health,"Medicaid recipients in Maryland, primarily those receiving primary care, behavioral health, or combined services","The bill extends the implementation of a collaborative, integrated care approach that uses standardized measurement tools and proactive management, leveraging existing health models and data collection systems to improve behavioral health integration.",4,"The program has high potential to directly impact child poverty by improving access and quality of integrated health services for children and families, leading to better health and socio-economic outcomes.",4
2023 Regular Session,HB0053,Human Services - Maryland Statewide Independent Living Council,"Codifying the Maryland Statewide Independent Living Council as an instrumentality of the State to submit, monitor, implement, and evaluate the State Plan under the federal Rehabilitation Act in conjunction with Centers for Independent Living in the State; and requiring the Attorney General to be the legal advisor to the Council.","The bill establishes the Maryland Statewide Independent Living Council as a formal entity of the state, with specified structure, duties, and oversight, to support independent living for individuals with disabilities.",True,2023,0,0.0,"Maryland Statewide Independent Living Council, with oversight and auditing by the designated State entity",People with disabilities in Maryland and community-based organizations dedicated to independent living,"The bill formalizes and clarifies the structure, governance, and responsibilities of the state council supporting independent living, but does not specify employing new technologies or approaches.",2,"The program has some potential to impact child poverty by improving independence and support for individuals with disabilities, including children.",3
2023 Regular Session,HB0057,Property Tax – Tax Sales – Requirement to Sell,Repealing certain limitations on the authority of certain local governments to set the time by which a property with taxes in arrears must be sold by the tax collector.,"The bill repeals certain limitations on the time local governments can set for selling properties with overdue taxes, making the rules for tax sale timings more flexible.",False,2023,2023,0.0,Local governments in Maryland (including county boards of commissioners and municipalities),Property owners with overdue taxes and local government tax offices in Maryland,"This bill mainly clarifies and expands existing rules for tax sales, without introducing new technologies or innovative approaches.",2,The bill has limited direct impact on child poverty as it primarily affects tax sale procedures.,2
2023 Regular Session,HB0058,Open Meetings Act - State Ethics Commission (Maryland State Agency Transparency Act of 2023),"Establishing enhanced requirements under the Open Meetings Act for the State Ethics Commission; and requiring the Department of Information Technology to provide technical staff, support, and equipment necessary to livestream the open meetings of the State Ethics Commission.","The bill enhances transparency requirements under the Open Meetings Act for specific state agencies, including livestreaming open meetings, posting agendas and minutes online, and providing technical support for livestreaming.",True,2023,0,0.0,"Department of Information Technology and impacted agencies such as the State Ethics Commission, Maryland Transportation Authority, and Maryland State Board of Elections",The public and entities involved in or affected by open meetings of the specified agencies,"The bill adopts technology-enhanced transparency measures like livestreaming meetings and digital recordkeeping, which represent a modernized approach to open government.",3,The program primarily enhances transparency and accountability rather than directly addressing child poverty.,1
2023 Regular Session,HB0062,Land Use - Public Service Companies - Pollinator-Friendly Vegetation Management and Utility-Designated Pollinator Areas,"Prohibiting local jurisdictions from imposing any unreasonable limitations, including land use restrictions, on utility-designated pollinator areas maintained by a public service company under certain conditions; requiring certain public service companies to mow utility designated pollinator areas in a manner which minimizes disturbances to habitats; stating the intent of the General Assembly related to State and local laws regarding weed control and vegetation management by public service companies outside of pollinator areas; etc.","The bill restricts local jurisdictions from imposing limitations or restrictions on pollinator-friendly vegetation management activities of public service companies in designated pollinator areas, and sets rules for how these companies can mow and manage these areas to support pollinators.",True,2023,2023,0.0,Public Service Companies and relevant state agencies involved in land use and environmental management,"Public service companies, environmental conservation organizations, pollinators, and local jurisdictions","The program promotes environmentally sound and scientifically based vegetation management practices for pollinator habitats maintained by utility companies, incorporating integrated vegetation management and specific mowing schedules.",4,"The bill has limited direct impact on child poverty, focusing mainly on environmental and land use regulations.",1
2023 Regular Session,HB0063,Certified Local Farm and Fish Program - Establishment,Altering the Certified Local Farm Enterprise Program to be the Certified Local Farm and Fish Program; expanding the purpose of the Program to include food from certified Chesapeake invasive species providers in the overall percentage goal of 20% of the unit's total dollar value for certain procurement contracts; and altering the Certified Local Farm Enterprise Food Aggregation Grant Fund to be the Certified Local Farm and Fish Food Aggregation Grant Fund.,"This bill establishes the 'Certified Local Farm and Chesapeake Invasive Species Provider Fish Program' to promote procurement from local farms and certified Chesapeake invasive species fish providers, and creates a grant fund to support food aggregation, storage, and distribution sites.",True,2023,0,2735000.0,Maryland Department of Agriculture and Maryland Agricultural and Resource-Based Industry Development Corporation,"Local farms, Chesapeake invasive species fish providers, state agencies, food procurement entities, and consumers","The program encourages procurement from certified invasive species providers and establishes a food aggregation fund, integrating invasive species into local food systems with funding support; it employs a certification process and procurement targets.",4,"The program has potential to improve local food access and economic opportunities, which may help reduce child poverty.",3
2023 Regular Session,HB0066,Circuit Courts and District Court - Dishonored Checks - Service Charges,Increasing the amount of the service charge from $10 to $30 that may be imposed by a circuit court or the District Court for a dishonored check.,The bill increases the service charge that a court can impose for dishonored checks from $10 to $30 in Maryland's circuit and district courts.,False,2023,2023,0.0,Maryland Courts (Circuit and District Courts),"Individuals who write checks that are dishonored, including those involved in court cases for motor vehicle, criminal, or civil matters.","The bill primarily changes the legal limit for a service charge for dishonored checks, which is a standard legal adjustment without the use of new technologies or approaches.",1,"The bill has minimal direct impact on child poverty, as it mainly impacts legal fee structures.",1
