YearAndSession,BillNumber,Title,Synopsis,bill_summary,responsible_party,stakeholders,decrease_small_business_failure_summary,decrease_small_business_failure_score
2024 Regular Session,HB0001,Maryland Paint Stewardship,"Requiring producers of architectural paint or a representative organization to submit a plan for the establishment of a Paint Stewardship Program to the Department of the Environment by July 1, 2025, and in accordance with certain requirements; requiring the Department to review and approve certain plans, including a certain assessment; prohibiting the sale of certain architectural paint beginning January 1, 2026 unless an approved Paint Stewardship Program has been implemented by certain producers; etc.","The bill establishes a Paint Stewardship Program in Maryland requiring producers of architectural paint to submit a plan for managing postconsumer paint, including collection, recycling, and disposal. It sets up assessments on paint sales to fund the program, mandates implementation timelines, and creates oversight and reporting requirements for compliance.","Department of the Environment, Office of Recycling","Producers of architectural paint, retailers, consumers, and local governments in Maryland","The program aims to create a structured and funded system for managing postconsumer paint, which could reduce small business failures related to waste management costs and regulatory compliance.",7.0
2024 Regular Session,HB0002,Property Taxes - Authority of Counties to Establish a Subclass and Set a Special Rate for Vacant and Abandoned Property,"Authorizing the Mayor and City Council of Baltimore City or the governing body of a county to establish, by law, a subclass of real property consisting of vacant lots or improved property cited as vacant and unfit for habitation or other authorized use on a certain violation notice and to set a special property tax rate for certain vacant and abandoned property; requiring the Mayor and City Council of Baltimore City or the governing body of a county that enacts a special tax rate to submit a certain report by December 1 each year; etc.","The bill authorizes Baltimore City and counties to establish a special property tax rate for vacant and abandoned properties, and requires annual reporting on the use and impact of this rate.",Baltimore City Mayor and City Council or the governing body of each county,"Property owners of vacant and abandoned properties, local governments, and communities affected by property vacancy and abandonment","The bill primarily targets vacant and abandoned properties, not small businesses, so its direct impact on small business failure rates is minimal.",2.0
2024 Regular Session,HB0004,Institutions of Higher Education - Admissions Standards - Prohibition on Consideration of Legacy Preference or Donor Preference,Prohibiting institutions of higher education that receive State funds from considering a legacy preference or donor preference as an eligible criterion for admissions standards at the institution; and allowing an institution of higher education to ask applicants for information regarding familial relationships to alums of the institution for data collection purposes.,The bill prohibits Maryland institutions of higher education that receive state funds from considering legacy or donor preferences as criteria for admissions.,Maryland Department of Higher Education,"Applicants to Maryland higher education institutions, especially those related to alumni or donors","The bill does not directly impact small businesses, but it may influence higher education access and diversity.",1.0
2024 Regular Session,HB0005,Criminal Law - Indecent Exposure Within the Presence of a Minor,"Prohibiting a person from committing the common law crime of indecent exposure; prohibiting a person from, with prurient intent, committing the common law crime of indecent exposure when the person knows or reasonably should know that a minor is present and the minor is at least 2 years old and is more than 4 years younger than the person; and establishing a penalty of 5 years of imprisonment or a fine of up to $10,000 or both on conviction for a crime of indecent exposure in the presence of a minor.","The bill amends Maryland law to prohibit indecent exposure when committed with prurient intent in the presence of a minor who is at least 2 years old and more than 4 years younger than the offender. It increases penalties for violations, including imprisonment and fines.",Maryland Department of Public Safety and Correctional Services,"Minors, general public, law enforcement, legal system",This bill does not directly impact small businesses or their failure rates.,0.0
2024 Regular Session,HB0007,Housing Innovation Pilot Program and Housing Innovation Fund - Establishment (Housing Innovation Pilot Program Act of 2024),"Establishing the Housing Innovation Fund to provide loans for local housing authorities and county governments to develop mixed-income, cross-subsidized housing; establishing the Housing Innovation Pilot Program in the Department of Housing and Community Development to assist public housing authorities and county governments in increasing housing production and to reward counties pursuing solutions to the problem of housing scarcity; authorizing the Governor to include an appropriation of $5,000,000 to the Fund in certain fiscal years; etc.","The bill establishes the Housing Innovation Pilot Program and the Housing Innovation Fund in Maryland to provide loans for developing mixed-income, cross-subsidized housing projects. It aims to increase housing production, especially affordable housing, by supporting local authorities and county governments with funding and resources.",Department of Housing and Community Development,"Local housing authorities, county governments, and residents seeking affordable housing options in Maryland.","The program is designed to support innovative housing projects, which can contribute to a more stable housing market and potentially reduce small business failures related to housing instability and economic challenges.",6.0
2024 Regular Session,HB0013,Residential Property - Affordable Housing Land Trusts - Authority to Establish Condominium Regimes,Authorizing a condominium regime to be established on certain land owned by an affordable housing land trust.,"The bill authorizes the establishment of condominium regimes on properties owned by affordable housing land trusts in Maryland, facilitating the development of affordable housing.",Maryland Department of Housing and Community Development,"Affordable housing land trusts, residents seeking affordable housing, and developers involved in affordable housing projects","The bill primarily impacts affordable housing development and land trusts, with indirect benefits for small businesses involved in housing development and related services.",3.0
2024 Regular Session,HB0016,Tax Sales - Homeowner Protection Program - Funding,Requiring each collector of property taxes to include with each property tax bill a separate insert that describes the Homeowner Protection Program and encourages taxpayers to make a voluntary donation to the Program through a website maintained by the State Department of Assessments and Taxation.,"The bill requires property tax collectors in Maryland to include a description of the Homeowner Protection Program and encourage voluntary donations to it on each property tax bill. It establishes a website for donations, allocates fees from tax sale certificates to the program, and funds the program to help prevent low-income, elderly, and disabled homeowners from losing their homes to tax sale foreclosure.","Maryland Department of Assessments and Taxation, State Tax Sale Ombudsman, and the Department responsible for property tax collection.","Low-income, elderly, and disabled homeowners at risk of losing their homes due to tax sale foreclosure.","The program aims to provide assistance to vulnerable homeowners, which can help prevent foreclosures and stabilize communities, potentially reducing small business failures related to community decline.",6.0
2024 Regular Session,HB0017,Charter Counties - Comprehensive Plans - Affirmatively Furthering Fair Housing,"Altering requirements for the housing element of a charter county's comprehensive plan to include requirements related to affirmatively furthering fair housing; requiring the housing element of a comprehensive plan that is enacted or amended on or after January 1, 2025, to include an assessment of fair housing to ensure that the county is affirmatively furthering fair housing; etc.","The bill requires charter counties in Maryland to include an assessment of fair housing and affirmatively furthering fair housing in their comprehensive plans, especially the housing element, starting from January 1, 2025. It also mandates that counties incorporate existing fair housing assessments into their plans when amended after January 1, 2024.","Maryland Department of Planning, Maryland Department of Housing and Community Development, and the planning commissions of charter counties.","Charter counties in Maryland, local government planning agencies, and residents seeking affordable and fair housing.","The bill primarily focuses on fair housing and urban planning, with no direct provisions targeting small business failure reduction.",1.0
2024 Regular Session,HB0019,Natural Resources - Northern Snakehead - Common Name,"Establishing the common name of the northern snakehead as the ""Chesapeake Channa"".",The bill establishes the common name for the northern snakehead fish as 'Chesapeake Channa' and sets regulations for licensing and fishing methods for this species in Maryland.,Maryland Department of Natural Resources,"Fishermen, recreational anglers, and environmental agencies in Maryland","The bill introduces a licensing program and regulations for fishing northern snakehead, which could support small fishing businesses and promote sustainable fishing practices.",6.0
2024 Regular Session,HB0022,Agriculture - Pollinator Habitat Plan - Requirements for State Highway Administration,"Requiring the State Highway Administration's pollinator habitat plan to include policies and procedures regarding the use of pollinator habitat areas along State highways; requiring the Administration to track and evaluate federal programs that provide funding for pollinator habitats, native plants, and invasive species control and to apply for any funding that the Administration determines appropriate and beneficial to pollinator habitats; requiring the Administration to update the plan by October 1 each year; etc.","The bill requires the Maryland State Highway Administration to develop and update a pollinator habitat plan that includes policies for creating and maintaining pollinator-friendly areas along highways, and to track and apply for federal funding for pollinator habitats. It also mandates the inclusion of best management practices and public education efforts.",Maryland State Highway Administration,"Pollinators, local communities, environmental groups, and the general public in Maryland","The bill does not directly address small business failure rates, but it promotes environmental and ecological initiatives that could benefit local economies and small businesses involved in ecological services and landscaping.",2.0
2024 Regular Session,HB0023,Maryland Health Benefit Exchange - Qualified Health Plans - Dental Coverage,Repealing a certain provision of law providing that a qualified health plan is not required under certain circumstances to provide essential benefits that duplicate the minimum benefits of qualified dental plans; and repealing the authority of the Maryland Health Benefit Exchange to require children enrolling in a qualified health plan to have essential pediatric dental benefits required by the federal Secretary of Health and Human Services.,"The bill repeals certain provisions that required qualified health plans in Maryland to include essential pediatric dental benefits and clarifies the requirements for dental coverage in health plans, effective January 1, 2025.",Maryland Health Benefit Exchange and the Maryland Insurance Administration,"Individuals enrolled in or purchasing health plans through the Maryland Health Benefit Exchange, including children and families needing dental coverage.","The bill's changes to dental coverage requirements may streamline plan offerings and reduce compliance burdens, potentially lowering small business failure rates related to health plan compliance.",7.0
2024 Regular Session,HB0026,"Small, Minority, and Women-Owned Businesses Account - Alterations","Altering the type of financial assistance that may be provided by eligible fund managers who receive grants from the Small, Minority, and Women-Owned Businesses Account in the Department of Commerce to allow grants of up to $10,000 in conjunction with a loan.","The bill modifies the Small, Minority, and Women–Owned Businesses Account managed by the Maryland Department of Commerce, allowing eligible fund managers to provide financial assistance in the form of loans and grants, with specific provisions for disaster and emergency areas, and for clean energy industry businesses.",Maryland Department of Commerce,"Small, minority, and women–owned businesses in Maryland, including those affected by disasters or emergencies and those in the clean energy industry.","The bill aims to improve access to financial assistance for small, minority, and women–owned businesses, which could help reduce their failure rate by providing targeted funding and support.",8.0
2024 Regular Session,HB0030,Health Insurance – Conformity With Federal Law,"Conforming provisions of State health insurance law with existing federal requirements, including updating effective dates for federal regulations, clarifying federal consumer protection regulations resulting from changes to the federal No Surprises Act, altering the material errors that trigger special enrollment periods, and authorizing the Maryland Health Benefits Exchange to adopt an expanded open enrollment period under certain circumstances.","This bill updates Maryland's health insurance laws to conform with federal regulations, including changes to the No Surprises Act, emergency services, and open enrollment periods, and authorizes the Maryland Health Benefits Exchange to expand open enrollment under certain circumstances.",Maryland Department of Health and the Maryland Health Benefits Exchange,"Individuals purchasing health insurance in Maryland, including those affected by emergency services, enrollment errors, and open enrollment periods.","The bill's provisions on open enrollment and emergency services are expected to reduce administrative burdens and improve coverage options, potentially lowering small business health plan failure rates.",7.0
2024 Regular Session,HB0035,Property Tax - Submission of Building Permits to Supervisor of Assessments - Estimated Construction Cost,Requiring local permit offices to include a construction cost estimate when submitting a copy of a building permit to the supervisor of assessments of the county where the building is located.,The bill requires local permit offices to include an estimated construction cost when submitting a copy of a building permit to the county supervisor of assessments.,Local permit offices and county supervisors of assessments,"Property owners, builders, and local government assessment offices in Maryland","By providing accurate construction cost estimates, the bill may help improve property assessment accuracy, potentially reducing disputes and financial issues for small builders and developers.",6.0
