Bill Number,Title,Status,Synopsis,Cross-filed bill,File codes,Subjects
HB0001,"Department of Transportation - Human Trafficking Awareness, Training, and Response (See Someone, Save Someone Act)",Returned Passed,"Requiring the Maryland Department of Transportation to develop or identify and implement a training program for transportation sector employees on the identification and reporting of suspected human trafficking victims; requiring transportation sector employers to certify by January 1, 2027, and each year thereafter that certain employees have completed the training program; requiring new employees to receive training within 90 days of hiring; removing civil and criminal liability for reporting of suspected trafficking; etc.",SB0007,Transportation - Generally,"Airports|Awareness and Outreach|Highways|Human Trafficking|Job Training -see also- Continuing Ed; Vocational Rehab|Mass Transit -see also- Buses; Railroads|Ports|Public Employees -see also- State Employees|Public Information|Railroads|Reports|Safety -see also- Occupational Safety|Transportation, Department of|Transportation -see also- Aircraft; Airports; Boats; etc"
HB0003,State Board of Physical Therapy Examiners - Revisions,Returned Passed,"Clarifying the definition of ""physical therapist assistant"" as used in the Maryland Physical Therapy Act to mean an individual licensed by the State Board of Physical Therapy Examiners; increasing the membership of the State Board of Physical Therapy Examiners from 8 to 9; and requiring the Board to send renewal notices to licensees by electronic means, rather than first-class mail, unless the licensee requests to receive the renewal notice by first-class mail.",SB0047,Health Occupations,Committees and Commissions|Electronic Communication|Health Occupations -see also- (specific health occupations)|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Notices|Physical Therapists
HB0004,Restrictions on Use - Solar Collector Systems - Alteration,Returned Passed,Prohibiting a restriction on land use that increases the cost of installing a solar collector system by at least 5% over a certain cost or that reduces the efficiency of the system by at least 10% under a certain energy generation level; authorizing a community association to impose certain restrictions on the installation of solar collector systems in common areas or common elements; authorizing a community association to install a solar collector system in common areas or common elements under certain circumstances; etc.,SB0120,Real Property,Construction|Energy Matters -see also- Fuel; NuclearMatt; PwrPlnts; etc.|Equipment -see also- Charging; Med. Equip.; MV Equip; etc.|Homeowners Associations|Prices -see also- Consumer Price Index|Real Property|Renewable Energy Sources -see also- Geotherm; Solar; etc.|Solar Energy|Zoning and Planning
HB0009,Public Safety - Food System Resiliency Council - Definitions and Reports,Passed Enrolled,"Altering certain definitions related to the Food Resiliency Council; defining what constitutes ""healthy food priority areas"" as predominantly lower-income areas that have limited access to retail outlets that sell, affordable, healthy foods; defining ""wasted food"" as food not used for its intended purpose; requiring the Council to make recommendations to increase the availability of local foods, create market opportunities for Maryland food businesses, and expand access to small scale food production infrastructure; etc.",,Public Safety,"Advertising|Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Committees and Commissions|Food -see also- Meat, Poultry, & Seafood; Milk; etc.|Food Insecurity|Gifts|Higher Education -see also- Comm Colleges; Med Schools; etc.|Industry and Technology|Low-Income|Nonprofit Organizations|Public Schools -see also- Primary Schools; Secondary Sch|Refuse Disposal -see also- Recycling|Reports"
HB0011,"Health Insurance - Access to Nonparticipating Providers - Referrals, Additional Assistance, and Coverage",Returned Passed,"Repealing the June 30, 2025, termination date for certain provisions of law related to referrals to and reimbursement of specialists and nonphysician specialists who are not part of a carrier's provider panel; prohibiting certain carriers from imposing utilization review requirements other than would be required if the covered benefit was provided by a provider on the carrier's provider panel under certain circumstances; etc.",SB0902,Health - Insurance|Health Maintenance Organizations,Health Care Commission|Health Insurance -see also- ACA; HMOs; MCOs|Health Maintenance Organizations -see also- Manage Care Orgs|Health Occupations -see also- (specific health occupations)|Medical Treatments|Meetings -see also- Hearings; Open Government|Mental and Behavioral Health -see also- Aut; Cogn; Dev; etc.|Nonprofit Organizations|Open Government|Reimbursement Rates|Substance Abuse|Substance Abuse Treatment|Sunset
HB0012,Cannabis - Sale and Distribution - Tetrahydrocannabinol Offenses,Approved by the Governor - Chapter 57,"Authorizing the officers and employees of the Field Enforcement Division of the Alcohol, Tobacco, and Cannabis Commission to issue a citation for a violation of §10-108 of the Criminal Law Article; prohibiting the sale or distribution of certain products that contain tetrahydrocannabinol or are advertised as containing tetrahydrocannabinol; authorizing the Executive Director of the Commission to seize, destroy, or confiscate a certain unlawful product; etc.",SB0214,Cannabis,Advertising|Cannabis Distribution|Cannabis -see also- CannDist; CannProd; Smok&Vap|Citations|Committees and Commissions|Electronic Communication|Fines -see also- Penalties and Sentences|Labeling|Law Enforcement -see also- SRO; Sheriffs; State Police|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Penalties and Sentences -see also- Death Penalty|Rules and Regulations|Search and Seizure|Weights and Measures
HB0015,Corporations and Associations - Limited Worker Cooperative Associations - Authorization (Maryland Limited Worker Cooperative Association Act),Passed Enrolled,"Authorizing the formation of limited worker cooperative associations; and establishing rules and procedures for the formation, governance, conversion, and dissolution of limited worker cooperative associations.",SB0144,Corporations and Associations,"Charters|Commerce and Business -see also- ElectrComm; ForeignTr; etc.|Cooperative Associations|Corporations -see also- Municipal Corps; Public Corps & Inst|Fees -see also- Attys' Fees; Devt Fees & Taxes|Income Tax|Insurance Administration|Insurance -see also- Health Ins; MAIF; Motor Vehicle Ins|Liability|Limited Liability Companies|Meetings -see also- Hearings; Open Government|Mergers and Acquisitions|Names|Notices|Personal Representatives|Records -see also- Land Records; Vital Records|Salaries and Compensation -see also- Overtime; Reimb. Rates|Voting -see also- Absentee and Mail-In Voting|Workers' Compensation|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
HB0018,Vehicle Laws - Noise Abatement Monitoring Systems Pilot Program - Inspection and Extension,Returned Passed,Establishing that certain provisions of law relating to the inspection of recorded images apply to recorded images produced by a noise abatement monitoring system; and extending by 2 years the reporting and termination dates of the noise abatement monitoring systems pilot programs in Montgomery County and Prince George's County.,SB0121,"Vehicle Laws - Equipment and Inspections|State Government - Agencies, Offices, and Officials",Digital Images|Montgomery County|Motor Vehicles -see also- Aband Veh; Ambulances; Buses; etc.|Noise|Pilot Programs|Prince George's County|Recordings -see also- Video|Reports|Sunset|Traffic Monitoring|Transportation -see also- Aircraft; Airports; Boats; etc
HB0019,"Health Occupations - Nursing - Loan Repayment, Education, and Sunset Extension (Building Opportunities for Nurses Act of 2025)",Passed Enrolled,Expanding the purpose of the Maryland Loan Assistance Repayment Program for Nurses and Nursing Support Staff; requiring the Department to prioritize funding for nurses or nursing support staff who practice in an area with a shortage of nurses or nursing support staff or who practice in a specialty where a shortage has been identified; altering certain education requirements for licensure; repealing a certain requirement that the State Board of Nursing approve certain nursing assistant training program sites within a certain time period; etc.,SB0216,Health Occupations,"Committees and Commissions|Education -see also- ContEd; DrvEd; HigherEd; etc.|Health -see also- COVID19; EnvHlth; MedCon; etc.|Health, Department of|Job Training -see also- Continuing Ed; Vocational Rehab|Licenses -see also- AB Lic; Certifications; DrLic; Permits|Loans -see also- Credit; Mortgages; Scholarships&SFA|Medical Schools|Nurses -see also- Nurse Practitioners; Nursing Assistants|Nursing Assistants|Reports|Scholarships and Student Financial Aid|Sunset|Tax Credits|Work, Labor, and Employment -see also- JobTrn; Leave; etc."
HB0022,Department of Public Safety and Correctional Services - Study on Location of Individuals Prior to and Following Incarceration,Returned Passed,"Requiring the Department of Public Safety and Correctional Services to conduct an annual study examining and comparing certain data regarding an individual's residence prior to incarceration and on release from a State correctional facility; and requiring the Department by October 1, 2026, and each October 1 thereafter, to report the results of the study to certain committees of the General Assembly.",SB0084,Corrections,"Ex-Offenders|Incarcerated Individuals|Public Safety and Correctional Services, Department of|Reports|Residency -see also- Immigrants and Citizenship|Studies -see also- Commitees & Commissions; Reports"
