YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,access_to_capital_summary,access_to_capital_score
2025 Regular Session,HB0001,"Department of Transportation - Human Trafficking Awareness, Training, and Response (See Someone, Save Someone Act)","Requiring the Maryland Department of Transportation to develop or identify and implement a training program for transportation sector employees on the identification and reporting of suspected human trafficking victims; requiring transportation sector employers to certify by January 1, 2027, and each year thereafter that certain employees have completed the training program; requiring new employees to receive training within 90 days of hiring; removing civil and criminal liability for reporting of suspected trafficking; etc.","The bill requires the Maryland Department of Transportation to develop or identify and implement training programs for transportation-sector employees on identifying and reporting human trafficking. It also mandates certification of training completion, establishment of reporting procedures, and public awareness announcements.",True,2025,2026,0.0,Maryland Department of Transportation,"Transportation-sector employees, transportation employers, and potential human trafficking victims in Maryland","The program focuses on training and awareness, which may indirectly support victims but does not directly impact access to capital for small businesses.",3.0
2025 Regular Session,HB0003,State Board of Physical Therapy Examiners - Revisions,"Clarifying the definition of ""physical therapist assistant"" as used in the Maryland Physical Therapy Act to mean an individual licensed by the State Board of Physical Therapy Examiners; increasing the membership of the State Board of Physical Therapy Examiners from 8 to 9; and requiring the Board to send renewal notices to licensees by electronic means, rather than first-class mail, unless the licensee requests to receive the renewal notice by first-class mail.","The bill clarifies the definition of 'physical therapist assistant' in Maryland, adjusts the membership of the State Board of Physical Therapy Examiners, and changes the method of sending renewal notices to licensees from first-class mail to electronic means, with an option for licensees to request traditional mail.",False,2025,2025,0.0,State Board of Physical Therapy Examiners,Licensed physical therapists and physical therapist assistants in Maryland,The bill does not directly impact access to capital for small business owners.,1.0
2025 Regular Session,HB0004,Restrictions on Use - Solar Collector Systems - Alteration,Prohibiting a restriction on land use that increases the cost of installing a solar collector system by at least 5% over a certain cost or that reduces the efficiency of the system by at least 10% under a certain energy generation level; authorizing a community association to impose certain restrictions on the installation of solar collector systems in common areas or common elements; authorizing a community association to install a solar collector system in common areas or common elements under certain circumstances; etc.,"The bill prohibits restrictions on land use that significantly increase the cost or decrease the efficiency of installing solar collector systems, and allows community associations to regulate or prohibit the installation of solar systems in common areas, including the ability to install systems in those areas.",False,2025,2025,0.0,Maryland Department of Housing and Community Development or local land use authorities,"Property owners, community associations, solar energy system installers, residents interested in solar energy","The bill could facilitate the installation of solar systems by reducing restrictions, potentially lowering costs and increasing efficiency, which may improve access to solar-related capital for property owners.",7.0
2025 Regular Session,HB0009,Public Safety - Food System Resiliency Council - Definitions and Reports,"Altering certain definitions related to the Food Resiliency Council; defining what constitutes ""healthy food priority areas"" as predominantly lower-income areas that have limited access to retail outlets that sell, affordable, healthy foods; defining ""wasted food"" as food not used for its intended purpose; requiring the Council to make recommendations to increase the availability of local foods, create market opportunities for Maryland food businesses, and expand access to small scale food production infrastructure; etc.","This bill establishes the Maryland Food System Resiliency Council to address food insecurity, promote equitable access to healthy foods, reduce food waste, and support local food production and markets. It defines key terms, sets reporting requirements, and aims to improve the long-term resilience of Maryland's food system.",True,2025,0,0.0,Maryland Department of Emergency Management (Office of Resilience),"Residents of Maryland, especially those in food insecure areas, local food businesses, schools, and community organizations.","The bill has the potential to improve access to local food markets and infrastructure, which could facilitate small business growth and access to capital.",6.0
2025 Regular Session,HB0011,"Health Insurance - Access to Nonparticipating Providers - Referrals, Additional Assistance, and Coverage","Repealing the June 30, 2025, termination date for certain provisions of law related to referrals to and reimbursement of specialists and nonphysician specialists who are not part of a carrier's provider panel; prohibiting certain carriers from imposing utilization review requirements other than would be required if the covered benefit was provided by a provider on the carrier's provider panel under certain circumstances; etc.","The bill repeals the sunset date for laws requiring insurers to establish procedures for members to request referrals to specialists and nonphysician specialists outside of provider panels, especially for mental health and substance use disorder services. It also mandates insurers to assist members in finding and arranging coverage for such specialists, prohibits certain prior authorization requirements, and sets a reimbursement formula for nonparticipating providers.",True,2026,2025,0.0,Maryland Health Care Commission,"Members seeking mental health and substance use disorder services, mental health and substance use disorder providers, insurers, and the general public in Maryland.","The bill's provisions could improve access to mental health and substance use disorder services, potentially enabling providers to receive better reimbursement and thus improving their financial stability and capacity to serve more patients.",7.0
2025 Regular Session,HB0012,Cannabis - Sale and Distribution - Tetrahydrocannabinol Offenses,"Authorizing the officers and employees of the Field Enforcement Division of the Alcohol, Tobacco, and Cannabis Commission to issue a citation for a violation of §10-108 of the Criminal Law Article; prohibiting the sale or distribution of certain products that contain tetrahydrocannabinol or are advertised as containing tetrahydrocannabinol; authorizing the Executive Director of the Commission to seize, destroy, or confiscate a certain unlawful product; etc.","The bill updates Maryland laws regarding the sale, distribution, and regulation of tetrahydrocannabinol (THC) and related products, including establishing enforcement authority, defining legal standards, and setting penalties for violations.",False,2025,2025,0.0,"Maryland Alcohol, Tobacco, and Cannabis Commission","Cannabis producers, sellers, consumers, and law enforcement in Maryland",The bill does not directly create or expand programs that impact small business access to capital.,1.0
2025 Regular Session,HB0015,Corporations and Associations - Limited Worker Cooperative Associations - Authorization (Maryland Limited Worker Cooperative Association Act),"Authorizing the formation of limited worker cooperative associations; and establishing rules and procedures for the formation, governance, conversion, and dissolution of limited worker cooperative associations.","The bill authorizes the formation of limited worker cooperative associations in Maryland, establishing rules for their formation, governance, conversion, and dissolution, and creating a new legal framework for these entities.",True,2026,9999,0.0,Maryland Department of Commerce or equivalent state agency responsible for business regulation and registration,Workers and small business owners interested in forming or operating worker cooperatives in Maryland,"The bill has the potential to improve access to capital for worker cooperatives by establishing clear legal and governance structures, but direct impact on capital access is moderate.",6.0
2025 Regular Session,HB0018,Vehicle Laws - Noise Abatement Monitoring Systems Pilot Program - Inspection and Extension,Establishing that certain provisions of law relating to the inspection of recorded images apply to recorded images produced by a noise abatement monitoring system; and extending by 2 years the reporting and termination dates of the noise abatement monitoring systems pilot programs in Montgomery County and Prince George's County.,"The bill extends the pilot programs for noise abatement monitoring systems in Montgomery County and Prince George's County, including systems that record images related to noise violations, and clarifies legal provisions regarding access to recorded images. It also requires counties to report on the use and effectiveness of these systems and extends the duration of the pilot programs.",True,2024,2028,0.0,Maryland Department of Transportation or local county agencies implementing noise monitoring systems,"Residents and motorists in Montgomery County and Prince George's County, local government agencies, and law enforcement",The program has a high potential to impact small business owners' access to capital by providing data and enforcement mechanisms that could influence noise-related regulations and compliance costs.,7.0
2025 Regular Session,HB0019,"Health Occupations - Nursing - Loan Repayment, Education, and Sunset Extension (Building Opportunities for Nurses Act of 2025)",Expanding the purpose of the Maryland Loan Assistance Repayment Program for Nurses and Nursing Support Staff; requiring the Department to prioritize funding for nurses or nursing support staff who practice in an area with a shortage of nurses or nursing support staff or who practice in a specialty where a shortage has been identified; altering certain education requirements for licensure; repealing a certain requirement that the State Board of Nursing approve certain nursing assistant training program sites within a certain time period; etc.,"The bill extends and modifies the Maryland Loan Assistance Repayment Program for nurses, updates licensing requirements for nursing assistants, and makes related changes to nursing education and staffing regulations, including extending the sunset date for certain programs to 2030.",True,2026,2030,0.0,Maryland Department of Health and Maryland Board of Nursing,"Nurses, nursing support staff, nursing students, healthcare facilities in Maryland, and residents needing healthcare services",The bill has a high potential to impact small business owners and healthcare providers by improving staffing and supporting workforce development through loan repayment programs.,8.0
2025 Regular Session,HB0022,Department of Public Safety and Correctional Services - Study on Location of Individuals Prior to and Following Incarceration,"Requiring the Department of Public Safety and Correctional Services to conduct an annual study examining and comparing certain data regarding an individual's residence prior to incarceration and on release from a State correctional facility; and requiring the Department by October 1, 2026, and each October 1 thereafter, to report the results of the study to certain committees of the General Assembly.","This bill requires the Maryland Department of Public Safety and Correctional Services to conduct a study on the residence locations of individuals before and after incarceration, including data on their county of residence, transfer details, and comparisons of release locations, with reports due annually.",False,2025,2026,0.0,Department of Public Safety and Correctional Services,Individuals incarcerated in Maryland and their communities,The bill does not directly impact access to capital for small business owners.,1.0
